iter	Logloss
0	0.476961351
1	0.4161683991
2	0.3895333009
3	0.3644082032
4	0.3500371839
5	0.3406611096
6	0.3266788533
7	0.3191675362
8	0.3156239629
9	0.3108644403
10	0.3096525779
11	0.3090358581
12	0.3085689018
13	0.3043199831
14	0.3040203804
15	0.3012899963
16	0.2981545377
17	0.2923278044
18	0.2898680812
19	0.2891406443
20	0.288187548
21	0.2880583827
22	0.2860283798
23	0.2859073454
24	0.2856828
25	0.2855136748
26	0.285118716
27	0.2839724763
28	0.2838371353
29	0.2821069332
30	0.2803129158
31	0.2801659177
32	0.2797897123
33	0.2794710014
34	0.2778192463
35	0.2757709259
36	0.2753380051
37	0.273038484
38	0.272475487
39	0.2715452866
40	0.270800511
41	0.2706120273
42	0.2690751884
43	0.2675863787
44	0.2663182271
45	0.2656530205
46	0.2648351176
47	0.2643957789
48	0.2640389941
49	0.2630155024
50	0.2619934392
51	0.2619054373
52	0.2617420792
53	0.2613537165
54	0.2606616882
55	0.2605994708
56	0.2605462944
57	0.2603137063
58	0.25940178
59	0.2593123824
60	0.2592602588
61	0.2585260706
62	0.2583838162
63	0.2581325733
64	0.2574128079
65	0.2563799197
66	0.2559917629
67	0.2556851972
68	0.2550780638
69	0.2543574733
70	0.2535534526
71	0.2528194589
72	0.2522600708
73	0.2516606607
74	0.2511201113
75	0.2499192911
76	0.2487535014
77	0.248471434
78	0.2484065124
79	0.2479704284
80	0.2476219788
81	0.2470999393
82	0.2469392469
83	0.2466673996
84	0.2464546357
85	0.2451971326
86	0.2442067456
87	0.2432851506
88	0.2422246441
89	0.2412012629
90	0.2401175043
91	0.2387422348
92	0.2381114682
93	0.2377832316
94	0.2375942495
95	0.2375579975
96	0.237239581
97	0.2371649343
98	0.2364921969
99	0.2363826732
