iter	Passed	Remaining
0	25	2558
1	26	1288
2	26	864
3	27	651
4	27	523
5	27	437
6	28	376
7	28	330
8	29	294
9	29	265
10	29	242
11	30	222
12	30	204
13	30	190
14	31	177
15	31	166
16	32	156
17	32	147
18	32	139
19	33	132
20	33	125
21	33	119
22	34	114
23	34	108
24	34	104
25	34	99
26	35	95
27	35	91
28	35	87
29	36	84
30	36	80
31	36	77
32	36	74
33	37	71
34	37	69
35	37	66
36	37	64
37	38	62
38	38	59
39	38	57
40	38	55
41	38	53
42	39	52
43	39	50
44	39	48
45	39	46
46	40	45
47	40	43
48	40	42
49	40	40
50	41	39
51	41	38
52	41	36
53	41	35
54	42	34
55	42	33
56	42	32
57	42	31
58	43	29
59	43	28
60	43	27
61	43	26
62	44	25
63	44	24
64	44	24
65	44	23
66	45	22
67	45	21
68	45	20
69	45	19
70	46	18
71	46	18
72	46	17
73	46	16
74	47	15
75	47	14
76	47	14
77	47	13
78	48	12
79	48	12
80	48	11
81	48	10
82	49	10
83	49	9
84	49	8
85	50	8
86	50	7
87	50	6
88	50	6
89	51	5
90	51	5
91	51	4
92	51	3
93	52	3
94	52	2
95	52	2
96	53	1
97	53	1
98	53	0
99	53	0
