,Grade,Proba_MIN,Proba_MAX,NoA_Population_Total,NoA_Event_Total,NoA_Approval_Rate,NoA_Event_Rate,NoA_Event_Rate_Cumulative,Amt_Population_Total,Amt_Event_Total,Amt_Approval_Rate,Amt_Event_Rate,Amt_Event_Rate_Cumulative
0,A1,0.24,0.25,117,2,0.1,0.02,0.02,88184188.0,1051280.0,0.18,0.01,0.01
1,A2,0.25,0.26,116,6,0.2,0.05,0.03,114730778.0,4990260.0,0.41,0.04,0.03
2,A3,0.26,0.27,117,8,0.3,0.07,0.05,54050068.5,3981761.0,0.52,0.07,0.04
3,A4,0.27,0.28,116,19,0.4,0.16,0.08,41280186.5,5507306.0,0.6,0.13,0.05
4,B1,0.28,0.3,117,22,0.5,0.19,0.1,101303689.5,6891912.5,0.81,0.07,0.06
5,B2,0.3,0.33,116,36,0.6,0.31,0.13,27243894.0,11305813.5,0.86,0.41,0.08
6,B3,0.33,0.38,116,46,0.7,0.4,0.17,22872500.5,9298055.0,0.91,0.41,0.1
7,C1,0.38,0.43,117,74,0.8,0.63,0.23,33758657.0,31067980.5,0.98,0.92,0.15
8,C2,0.43,0.53,116,56,0.9,0.48,0.26,7039399.0,3274917.0,0.99,0.47,0.16
9,C3,0.53,0.67,117,82,1.0,0.7,0.3,4358444.5,3005717.0,1.0,0.69,0.16
